WMO;COUNTRY;LAUNCH_DATE;PROGRAM
1900293;United Kingdom;2003/11/30;Argo UK eq.
1900294;United Kingdom;2003/12/01;Argo UK eq.
1900312;France;2004/01/18;Coriolis-FLOSTRAL
1900313;France;2004/01/19;Coriolis-FLOSTRAL
1900314;France;2004/01/26;Coriolis-FLOSTRAL
1900315;France;2004/02/05;Coriolis-FLOSTRAL
1900316;France;2004/02/05;Coriolis-FLOSTRAL
1900317;France;2004/02/05;Coriolis-FLOSTRAL
1900318;France;2004/02/07;Coriolis-FLOSTRAL
1900319;France;2004/02/07;Coriolis-FLOSTRAL
1900320;France;2004/02/08;Coriolis-FLOSTRAL
1900321;France;2004/04/10;Coriolis-FLOSTRAL
1900322;France;2004/04/10;Coriolis-FLOSTRAL
1900323;France;2004/04/11;Coriolis-FLOSTRAL
1900324;France;2004/04/11;Coriolis-FLOSTRAL
1900325;France;2004/04/13;Coriolis-FLOSTRAL
1900326;France;2004/08/06;Coriolis
1900327;France;2000/01/01;Coriolis-Good Hope
1900328;France;2004/02/28;Coriolis-Good Hope
1900329;France;2004/02/29;Coriolis-Good Hope
1900330;France;2000/01/01;Coriolis-Good Hope
1900331;France;2004/02/26;Coriolis-Good Hope
1900332;France;2004/02/27;Coriolis-Good Hope
1900333;France;2004/02/27;Coriolis-Good Hope
1900334;France;2004/02/26;Coriolis-Good Hope
1900335;France;2004/02/29;Coriolis-Good Hope
1900336;France;2004/03/01;Coriolis-Good Hope
1900337;France;2004/03/02;Coriolis-Good Hope
1900338;France;2004/03/03;Coriolis-Good Hope
1900339;France;2004/03/03;Coriolis-Good Hope
1900340;France;2004/02/28;Coriolis-Good Hope
1900341;France;2004/08/24;Coriolis-Good Hope
1900342;France;2004/08/23;Coriolis-Good Hope
1900343;United Kingdom;2004/04/14;Argo UK
1900344;United Kingdom;2004/04/24;Argo UK
1900345;United Kingdom;2004/08/23;Argo UK
1900346;United Kingdom;2004/04/13;Argo UK
1900347;United Kingdom;2004/05/05;Argo UK
1900348;France;2004/04/09;Coriolis
1900349;France;2004/04/08;Coriolis
1900350;France;2004/04/08;Coriolis
1900351;France;2004/07/02;Coriolis
1900352;France;2004/07/17;Coriolis
1900368;United Kingdom;2004/05/11;Argo UK
1900369;United Kingdom;2004/05/11;Argo UK
1900370;United Kingdom;2004/05/11;Argo UK
1900371;United Kingdom;2004/05/11;Argo UK
1900372;United Kingdom;2004/05/12;Argo UK
1900373;United Kingdom;2004/05/12;Argo UK
1900374;United Kingdom;2004/05/12;Argo UK
1900375;United Kingdom;2004/05/12;Argo UK
1900376;United Kingdom;2004/05/12;Argo UK
1900377;Mexico;2005/05/04;Argo MEXICO
1900378;Costa Rica;2005/12/07;Argo COSTA RICA
1900379;Costa Rica;2005/12/07;Argo COSTA RICA
1900380;Germany;2004/04/03;Argo eq. AWI
1900381;Germany;2004/04/29;Argo eq. AWI
1900382;Germany;2004/04/30;Argo eq. AWI
1900383;France;2004/09/16;Coriolis
1900384;France;2004/08/12;Coriolis
1900385;France;2004/08/05;Coriolis
1900386;France;2005/02/01;Coriolis-Good Hope
1900387;France;2004/08/11;Coriolis
1900388;France;2004/09/16;Coriolis
1900389;France;2004/09/15;Coriolis
1900390;France;2004/08/09;Coriolis
1900391;France;2004/09/15;Coriolis
1900392;France;2004/08/10;Coriolis
1900393;France;2004/08/12;Coriolis
1900394;France;2004/08/08;Coriolis
1900395;France;2004/09/16;Coriolis
1900396;France;2004/08/04;Coriolis
1900397;France;2004/08/07;Coriolis
1900398;France;2004/08/05;Coriolis
1900399;France;2004/09/15;Coriolis-Good Hope
1900400;France;2004/09/15;Coriolis
1900401;France;2004/09/16;Coriolis
1900402;France;2004/08/06;Coriolis
1900403;France;2004/08/08;Coriolis
1900404;France;2004/08/07;Coriolis
1900405;France;2004/08/10;Coriolis
1900416;Russian Federation;2004/11/18;Meridian Goodhope
1900417;Russian Federation;2004/11/23;Meridian Goodhope
1900418;Mauritius;2004/08/17;Argo MAURITIUS
1900419;Mauritius;2004/08/17;Argo MAURITIUS
1900420;France;2004/11/17;Coriolis-Good Hope
1900421;France;2004/11/16;Coriolis-Good Hope
1900422;France;2004/11/22;Coriolis-Good Hope
1900433;France;2004/11/19;Coriolis-Good Hope
1900434;France;2004/11/20;Coriolis-Good Hope
1900450;United Kingdom;2004/11/04;Argo UK
1900451;United Kingdom;2004/11/09;Argo UK
1900452;United Kingdom;2004/11/12;Argo UK
1900453;United Kingdom;2004/11/13;Argo UK
1900454;United Kingdom;2004/11/20;Argo UK
1900455;United Kingdom;2004/11/28;Argo UK
1900456;United Kingdom;2004/12/05;Argo UK
1900457;United Kingdom;2004/12/06;Argo UK
1900458;United Kingdom;2004/12/09;Argo UK
1900459;United Kingdom;2004/12/07;Argo UK
1900460;United Kingdom;2004/12/28;Argo UK
1900461;United Kingdom;2005/01/18;Argo UK
1900462;United Kingdom;2005/01/19;Argo UK
1900463;United Kingdom;2005/01/20;Argo UK
1900464;France;2009/06/21;Coriolis
1900465;France;2005/01/23;Coriolis-Good Hope
1900466;France;2005/01/23;Coriolis-Good Hope
1900467;France;2005/01/24;Coriolis-Good Hope
1900468;France;2005/01/24;Coriolis-Good Hope
1900469;France;2005/01/27;Coriolis-Good Hope
1900470;France;2005/01/27;Coriolis-Good Hope
1900471;France;2005/01/30;Coriolis-Good Hope
1900472;France;2005/01/31;Coriolis-Good Hope
1900473;France;2005/01/31;Coriolis-Good Hope
1900507;United Kingdom;2005/04/18;Argo UK
1900508;United Kingdom;2005/04/21;Argo UK
1900509;United Kingdom;2005/04/22;Argo UK
1900510;United Kingdom;2005/05/09;Argo UK
1900517;Germany;2005/06/02;Argo IFM-GEOMAR
1900518;Germany;2005/05/31;Argo IFM-GEOMAR
1900519;Germany;2005/05/26;Argo IFM-GEOMAR
1900520;Germany;2005/05/27;Argo IFM-GEOMAR
1900521;Germany;2005/05/28;Argo IFM-GEOMAR
1900522;Germany;2005/05/28;Argo IFM-GEOMAR
1900523;Germany;2005/06/01;Argo IFM-GEOMAR
1900524;Germany;2005/06/01;Argo IFM-GEOMAR
1900540;France;2005/06/09;Coriolis-EGEE
1900541;France;2005/06/14;Coriolis-EGEE
1900542;France;2005/06/16;Coriolis-EGEE
1900543;France;2005/06/12;Coriolis-EGEE
1900544;France;2005/06/19;Coriolis-EGEE
1900545;France;2005/06/13;Coriolis-EGEE
1900546;France;2005/06/10;Coriolis-EGEE
1900547;France;2005/06/11;Coriolis-EGEE
1900548;France;2005/09/23;Coriolis-EGEE
1900549;France;2005/09/22;Coriolis-EGEE
1900550;France;2005/07/02;Coriolis-EGEE
1900551;France;2005/06/17;Coriolis-EGEE
1900552;France;2005/09/24;Coriolis-EGEE
1900553;France;2005/06/20;Coriolis-EGEE
1900554;France;2005/06/18;Coriolis-EGEE
1900555;France;2005/07/05;Coriolis-EGEE
1900556;France;2005/05/26;Coriolis-EGEE
1900557;France;2005/09/16;Coriolis-EGEE
1900585;United Kingdom;2005/08/26;Argo UK
1900586;United Kingdom;2005/08/26;Argo UK
1900589;France;2005/11/14;Coriolis-EGYPT
1900590;France;2005/11/15;Coriolis-EGYPT
1900591;France;2005/11/15;Coriolis-EGYPT
1900592;France;2006/02/02;Coriolis-EGYPT
1900593;France;2006/02/02;Coriolis-EGYPT
1900599;France;2006/05/31;Coriolis-EGEE
1900600;France;2006/06/27;Coriolis-EGEE
1900601;France;2006/05/30;Coriolis-EGEE
1900602;France;2006/04/10;Coriolis-EGYPT
1900603;France;2006/04/23;Coriolis-EGYPT
1900604;France;2006/04/18;Coriolis-EGYPT
1900605;France;2006/04/11;Coriolis-EGYPT
1900606;France;2006/04/22;Coriolis-EGYPT
1900607;France;2006/06/24;Coriolis-EGEE
1900608;France;2006/06/10;Coriolis-EGEE
1900609;France;2006/06/21;Coriolis-EGEE
1900610;France;2006/07/04;Coriolis-EGEE
1900611;France;2006/06/12;Coriolis-EGEE
1900612;France;2006/06/29;Coriolis-EGEE
1900613;France;2006/06/04;Coriolis-EGEE
1900614;France;2006/06/13;Coriolis-EGEE
1900615;France;2006/05/30;Coriolis-EGEE
1900616;France;2006/05/01;Coriolis-CONGAS
1900617;France;2006/05/10;Coriolis-CONGAS
1900618;France;2006/05/01;Coriolis-CONGAS
1900619;France;2006/12/09;Coriolis-CONGAS
1900620;France;2006/05/01;Coriolis-CONGAS
1900621;France;2006/05/10;Coriolis-CONGAS
1900622;France;2006/12/06;Coriolis-CONGAS
1900623;France;2006/12/11;Coriolis-CONGAS
1900624;France;2006/05/10;Coriolis-CONGAS
1900625;France;2006/05/10;Coriolis-CONGAS
1900626;France;2006/12/11;Coriolis-CONGAS
1900627;France;2006/12/05;Coriolis-CONGAS
1900628;France;2008/03/19;Coriolis-Good Hope
1900629;European Union;2005/11/14;MEDARGO
1900630;European Union;2005/11/16;MEDARGO
1900631;United Kingdom;2005/10/29;Argo UK
1900632;United Kingdom;2005/10/27;Argo UK
1900633;United Kingdom;2006/05/09;Argo UK
1900634;United Kingdom;2006/05/09;Argo UK
1900650;Germany;2006/06/11;Argo IFM-GEOMAR
1900651;Germany;2006/06/19;Argo IFM-GEOMAR
1900652;Germany;2006/07/03;Argo IFM-GEOMAR
1900653;Germany;2006/06/09;Argo IFM-GEOMAR
1900654;Germany;2006/06/15;Argo IFM-GEOMAR
1900655;Germany;2006/07/06;Argo IFM-GEOMAR
1900656;Germany;2006/06/25;Argo IFM-GEOMAR
1900657;Germany;2006/07/02;Argo IFM-GEOMAR
1900658;Germany;2006/06/12;Argo IFM-GEOMAR
1900659;Germany;2006/06/13;Argo IFM-GEOMAR
1900660;Germany;2006/06/15;Argo IFM-GEOMAR
1900661;Germany;2006/06/17;Argo IFM-GEOMAR
1900662;Germany;2006/06/24;Argo IFM-GEOMAR
1900663;Germany;2006/06/26;Argo IFM-GEOMAR
1900664;Germany;2006/06/23;Argo IFM-GEOMAR
1900677;United Kingdom;2006/02/11;Argo UK
1900678;United Kingdom;2006/02/12;Argo UK
1900679;United Kingdom;2006/02/12;Argo UK
1900680;United Kingdom;2006/02/13;Argo UK
1900681;United Kingdom;2006/02/13;Argo UK
1900682;United Kingdom;2006/03/19;Argo UK
1900846;France;2009/07/09;Coriolis
1900847;France;2009/06/26;Coriolis
1900848;France;2010/02/27;Coriolis
1900849;France;2009/12/03;Coriolis
1900850;France;2008/03/19;Coriolis-Good Hope
1900851;France;2008/03/18;Coriolis-Good Hope
1900852;France;2008/03/13;Coriolis-Good Hope
1900853;France;2008/03/03;Coriolis-Good Hope
1900854;France;2008/03/11;Coriolis-Good Hope
1900855;France;2008/03/12;Coriolis-Good Hope
1900856;France;2008/03/07;Coriolis-Good Hope
1900857;France;2008/02/25;Coriolis-Good Hope
1900858;France;2008/03/14;Coriolis-Good Hope
1900859;France;2008/03/06;Coriolis-Good Hope
1900860;France;2008/03/09;Coriolis-Good Hope
1900861;France;2008/03/01;Coriolis-Good Hope
1900862;France;2008/03/21;Coriolis-Good Hope
1900863;France;2008/03/08;Coriolis-Good Hope
1900864;France;2008/02/26;Coriolis-Good Hope
1900865;France;2008/02/28;Coriolis-Good Hope
1900916;Mauritius;2006/06/19;Argo MAURITIUS
1900917;Mauritius;2006/06/19;Argo MAURITIUS
1900918;France;2006/10/23;Coriolis-Good Hope
1900919;France;2006/10/25;Coriolis-Good Hope
1900920;France;2006/10/26;Coriolis-Good Hope
1900921;France;2006/10/28;Coriolis-Good Hope
1900922;France;2006/10/29;Coriolis-Good Hope
1900923;France;2006/10/29;Coriolis-Good Hope
1900924;France;2006/10/31;Coriolis-Good Hope
1900925;France;2006/11/02;Coriolis-Good Hope
1900926;France;2006/11/03;Coriolis-Good Hope
1900927;France;2006/11/04;Coriolis-Good Hope
1900928;France;2006/11/04;Coriolis-Good Hope
1900929;France;2006/11/05;Coriolis-Good Hope
1900930;France;2006/11/05;Coriolis-Good Hope
1900933;United Kingdom;2006/09/10;Argo UK
1900934;United Kingdom;2006/09/11;Argo UK
1900935;United Kingdom;2006/09/11;Argo UK
1900936;United Kingdom;2006/09/12;Argo UK
1900937;United Kingdom;2006/09/12;Argo UK
1900938;United Kingdom;2006/09/13;Argo UK
1900939;United Kingdom;2007/02/14;Argo UK
1900940;United Kingdom;2007/02/14;Argo UK
1900941;United Kingdom;2007/02/14;Argo UK
1900942;United Kingdom;2007/02/14;Argo UK
1900943;Germany;2007/02/13;Argo eq. IFM2
1901050;United Kingdom;2007/09/08;Argo UK
1901051;United Kingdom;2007/09/09;Argo UK
1901052;United Kingdom;2007/09/11;Argo UK
1901053;United Kingdom;2007/09/12;Argo UK
1901054;United Kingdom;2007/12/01;Argo UK
1901055;United Kingdom;2007/12/02;Argo UK
1901056;United Kingdom;2007/12/02;Argo UK
1901057;United Kingdom;2007/12/02;Argo UK
1901058;United Kingdom;2007/12/02;Argo UK
1901059;United Kingdom;2007/12/03;Argo UK
1901060;United Kingdom;2008/01/23;Argo UK
1901061;United Kingdom;2008/01/22;Argo UK
1901062;United Kingdom;2008/01/24;Argo UK
1901063;United Kingdom;2008/01/22;Argo UK
1901064;United Kingdom;2008/01/24;Argo UK
1901065;United Kingdom;2008/01/23;Argo UK
1901066;United Kingdom;2008/09/09;Argo UK
1901067;United Kingdom;2008/09/07;Argo UK
1901068;United Kingdom;2008/10/07;Argo UK
1901069;United Kingdom;2008/09/10;Argo UK
1901070;United Kingdom;2008/09/06;Argo UK
1901071;United Kingdom;2008/09/06;Argo UK
1901072;United Kingdom;2008/10/30;Argo UK
1901073;United Kingdom;2008/10/31;Argo UK
1901074;United Kingdom;2008/11/02;Argo UK
1901075;Netherlands;2007/11/28;Argo NETHERLANDS
1901076;Netherlands;2007/11/30;Argo NETHERLANDS
1901077;Netherlands;2007/12/02;Argo NETHERLANDS
1901078;Netherlands;2007/12/03;Argo NETHERLANDS
1901079;Netherlands;2008/01/07;Argo NETHERLANDS
1901080;Netherlands;2008/01/15;Argo NETHERLANDS
1901081;Netherlands;2008/01/29;Argo NETHERLANDS
1901082;Netherlands;2008/02/02;Argo NETHERLANDS
1901083;Netherlands;2008/02/03;Argo NETHERLANDS
1901092;France;2008/06/01;Coriolis
1901093;France;2008/06/01;Coriolis
1901094;France;2008/06/02;Coriolis
1901095;France;2008/06/02;Coriolis
1901096;France;2008/06/02;Coriolis
1901097;France;2008/06/04;Coriolis
1901169;France;2009/02/24;Coriolis-TRACK
1901170;France;2009/02/22;Coriolis-TRACK
1901171;France;2009/02/23;Coriolis-TRACK
1901172;France;2009/02/26;Coriolis-TRACK
1901173;France;2009/02/25;Coriolis-TRACK
1901174;France;2009/02/21;Coriolis-TRACK
1901175;France;2009/02/26;Coriolis-TRACK
1901176;France;2010/10/22;Coriolis
1901177;France;2010/10/27;Coriolis-Good Hope
1901178;France;2014/02/06;Coriolis-Good Hope
1901179;France;2009/12/24;Coriolis-Good Hope
1901180;France;2009/12/24;Coriolis-Good Hope
1901181;France;2015/02/14;Coriolis-Good Hope
1901182;France;2010/10/26;Coriolis
1901183;France;2010/01/12;Coriolis-TRACK
1901184;France;2010/10/22;Coriolis
1901185;France;2011/03/09;Coriolis
1901186;France;2011/03/13;Coriolis
1901187;France;2011/03/20;Coriolis
1901188;France;2012/07/03;Coriolis
1901190;France;2010/10/16;Coriolis-Good Hope
1901191;France;2011/12/13;Coriolis-Good Hope
1901192;France;2011/07/27;Coriolis
1901193;France;2011/12/14;Coriolis-Good Hope
1901194;France;2009/12/25;Coriolis-Good Hope
1901195;France;2009/12/26;Coriolis-Good Hope
1901196;France;2010/01/10;Coriolis-TRACK
1901197;France;2010/01/03;Coriolis-TRACK
1901198;France;2010/01/06;Coriolis-TRACK
1901199;France;2010/01/08;Coriolis-TRACK
1901200;France;2009/12/08;Coriolis
1901201;France;2010/10/26;Coriolis-Good Hope
1901202;France;2011/03/20;Coriolis
1901203;Italy;2010/10/25;Argo ITALY
1901204;France;2012/05/16;Coriolis
1901205;France;2011/07/21;Coriolis-OVIDE
1901206;France;2011/07/23;Coriolis-OVIDE
1901207;France;2010/10/10;Coriolis-Good Hope
1901208;France;2011/07/24;Coriolis-OVIDE
1901209;France;2011/08/12;Coriolis-OVIDE
1901210;France;2011/07/17;Coriolis-OVIDE
1901211;France;2011/06/29;Coriolis-OVIDE
1901212;France;2011/06/30;Coriolis-OVIDE
1901213;France;2011/07/05;Coriolis-OVIDE
1901214;France;2011/07/21;Coriolis-OVIDE
1901215;France;2011/07/23;Coriolis-OVIDE
1901216;France;2010/10/14;Coriolis-Good Hope
1901217;France;2011/07/26;Coriolis-OVIDE
1901218;France;2011/07/29;Coriolis-OVIDE
1901219;United Kingdom;2008/11/01;Argo UK
1901220;United Kingdom;2008/11/06;Argo UK
1901221;United Kingdom;2008/12/15;Argo UK
1901222;United Kingdom;2008/12/14;Argo UK
1901223;United Kingdom;2008/12/14;Argo UK
1901224;United Kingdom;2008/12/16;Argo UK
1901225;United Kingdom;2008/12/15;Argo UK
1901226;United Kingdom;2008/12/16;Argo UK
1901227;United Kingdom;2008/12/17;Argo UK
1901228;United Kingdom;2009/03/22;Argo UK
1901229;United Kingdom;2009/03/23;Argo UK
1901230;United Kingdom;2009/03/25;Argo UK
1901231;United Kingdom;2009/03/31;Argo UK
1901232;United Kingdom;2009/04/05;Argo UK
1901233;United Kingdom;2009/04/02;Argo UK
1901234;United Kingdom;2009/04/10;Argo UK
1901235;United Kingdom;2009/04/07;Argo UK
1901236;United Kingdom;2009/04/16;Argo UK
1901237;United Kingdom;2009/04/11;Argo UK
1901238;United Kingdom;2009/04/18;Argo UK
1901239;United Kingdom;2009/04/17;Argo UK
1901240;United Kingdom;2009/03/28;Argo UK
1901241;United Kingdom;2009/04/04;Argo UK
1901242;United Kingdom;2009/04/09;Argo UK
1901243;United Kingdom;2009/04/14;Argo UK
1901244;United Kingdom;2009/09/06;Argo UK
1901245;United Kingdom;2009/09/09;Argo UK
1901247;United Kingdom;2009/12/18;Argo UK
1901248;United Kingdom;2009/12/18;Argo UK
1901249;United Kingdom;2010/03/24;Argo UK
1901250;United Kingdom;2010/04/03;Argo UK
1901251;United Kingdom;2010/04/14;Argo UK
1901252;United Kingdom;2010/09/04;Argo UK
1901253;United Kingdom;2010/09/05;Argo UK
1901254;United Kingdom;2010/09/08;Argo UK
1901255;United Kingdom;2010/09/07;Argo UK
1901256;United Kingdom;2010/11/11;Argo UK
1901257;United Kingdom;2010/11/13;Argo UK
1901258;United Kingdom;2010/11/14;Argo UK
1901259;United Kingdom;2010/11/15;Argo UK
1901260;United Kingdom;2010/11/16;Argo UK
1901261;United Kingdom;2010/11/17;Argo UK
1901262;Mauritius;2011/03/01;Argo MAURITIUS
1901263;Mauritius;2011/03/05;Argo MAURITIUS
1901264;United Kingdom;2011/09/11;Argo UK
1901265;United Kingdom;2011/09/12;Argo UK
1901266;United Kingdom;2011/09/13;Argo UK
1901267;United Kingdom;2011/09/14;Argo UK
1901268;United Kingdom;2011/10/30;Argo UK
1901269;United Kingdom;2011/11/01;Argo UK
1901270;United Kingdom;2011/11/03;Argo UK
1901271;United Kingdom;2011/11/04;Argo UK
1901272;United Kingdom;2011/11/05;Argo UK
1901273;United Kingdom;2011/11/06;Argo UK
1901274;Mauritius;2011/11/20;Argo MAURITIUS
1901275;Mauritius;2011/11/21;Argo MAURITIUS
1901276;United Kingdom;2011/11/29;Argo UK
1901277;United Kingdom;2011/12/02;Argo UK
1901278;United Kingdom;2011/12/02;Argo UK
1901279;United Kingdom;2011/12/03;Argo UK
1901280;United Kingdom;2011/12/03;Argo UK
1901281;United Kingdom;2011/12/04;Argo UK
1901282;United Kingdom;2012/01/17;Argo UK
1901283;United Kingdom;2012/01/20;Argo UK
1901284;United Kingdom;2012/01/21;Argo UK
1901285;United Kingdom;2012/01/23;Argo UK
1901286;United Kingdom;2012/01/24;Argo UK
1901287;United Kingdom;2012/01/24;Argo UK
1901288;United Kingdom;2012/01/26;Argo UK
1901289;United Kingdom;2012/09/23;Argo UK
1901290;United Kingdom;2013/03/20;Argo UK
1901291;United Kingdom;2012/09/24;Argo UK
1901292;United Kingdom;2012/09/23;Argo UK
1901293;United Kingdom;2012/11/04;Argo UK
1901294;United Kingdom;2011/05/27;Argo UK
1901295;United Kingdom;2012/11/11;Argo UK
1901296;United Kingdom;2012/11/08;Argo UK
1901297;United Kingdom;2012/11/10;Argo UK
1901298;United Kingdom;2012/11/05;Argo UK
1901299;United Kingdom;2012/11/15;Argo UK
1901300;United Kingdom;2013/03/20;Argo UK
1901302;United Kingdom;2013/03/21;Argo UK
1901303;United Kingdom;2013/03/22;Argo UK
1901304;United Kingdom;2013/03/22;Argo UK
1901305;United Kingdom;2013/03/24;Argo UK
1901306;United Kingdom;2013/03/25;Argo UK
1901307;Mauritius;2013/06/25;Argo MAURITIUS
1901308;Mauritius;2013/06/26;Argo MAURITIUS
1901309;United Kingdom;2013/07/10;Argo UK
1901310;United Kingdom;2013/07/10;Argo UK
1901311;United Kingdom;2013/07/11;Argo UK
1901312;United Kingdom;2013/07/11;Argo UK
1901313;United Kingdom;2013/09/14;Argo UK
1901314;United Kingdom;2013/09/21;Argo UK
1901315;United Kingdom;2013/09/22;Argo UK
1901316;United Kingdom;2013/09/23;Argo UK
1901317;United Kingdom;2013/09/22;Argo UK
1901318;United Kingdom;2013/09/22;Argo UK
1901349;Germany;2009/12/11;Argo BSH
